,user_id,friend_id
0,577154121,188326771
1,577154121,189211074
2,577154121,203933607
3,577154121,235965094
4,577154121,250528900
5,577154121,-1
6,565196802,6590761
7,565196802,27266012
8,565196802,61749631
9,565196802,89207565
10,565196802,120664480
11,565196802,128157570
12,565196802,140339960
13,565196802,152953803
14,565196802,153536981
15,565196802,154666688
16,565196802,171339270
17,565196802,173466483
18,565196802,188583623
19,565196802,207779346
20,565196802,212778521
21,565196802,218141655
22,565196802,227414664
23,565196802,233699413
24,565196802,234828099
25,565196802,242205073
26,565196802,256456912
27,565196802,268038919
28,565196802,268723981
29,565196802,279357012
30,565196802,436623521
31,565196802,448352092
32,565196802,518319917
33,565196802,611112560
34,565196802,-1
35,556093677,101419941
36,556093677,118788569
37,556093677,120505947
38,556093677,139246576
39,556093677,140878173
40,556093677,143468727
41,556093677,212778521
42,556093677,318488939
43,556093677,413688283
44,556093677,-1
45,551456880,61749631
46,551456880,142834757
47,551456880,166403585
48,551456880,176406257
49,551456880,181467338
50,551456880,182593775
51,551456880,185589349
52,551456880,188326771
53,551456880,194644130
54,551456880,195002299
55,551456880,197757852
56,551456880,220552930
57,551456880,229823366
58,551456880,244785125
59,551456880,250528900
60,551456880,251306106
61,551456880,256452567
62,551456880,256456912
63,551456880,269964001
64,551456880,272471861
65,551456880,276347658
66,551456880,285129439
67,551456880,312877118
68,551456880,319560548
69,551456880,338613323
70,551456880,478439305
71,551456880,533328536
72,551456880,538135084
73,551456880,-1
74,538135084,115908655
75,538135084,128157570
76,538135084,132870687
77,538135084,142834757
78,538135084,159240817
79,538135084,160928325
80,538135084,166403585
81,538135084,171339270
82,538135084,180642394
83,538135084,181467338
84,538135084,188326771
85,538135084,194644130
86,538135084,197757852
87,538135084,203933607
88,538135084,220552930
89,538135084,227414664
90,538135084,229823366
91,538135084,241170692
92,538135084,250528900
93,538135084,262551790
94,538135084,267361754
95,538135084,272471861
96,538135084,309118991
97,538135084,316817115
98,538135084,352604790
99,538135084,353018838
100,538135084,363902992
101,538135084,383788148
102,538135084,388363579
103,538135084,413795938
104,538135084,551456880
105,538135084,-1
106,534677111,61749631
107,534677111,142490164
108,534677111,154685289
109,534677111,188583623
110,534677111,245099122
111,534677111,335247861
112,534677111,436623521
113,534677111,-1
114,533328536,61749631
115,533328536,162076643
116,533328536,166403585
117,533328536,173101640
118,533328536,180642394
119,533328536,181467338
120,533328536,182593775
121,533328536,186745005
122,533328536,188326771
123,533328536,189211074
124,533328536,194644130
125,533328536,195002299
126,533328536,197757852
127,533328536,220552930
128,533328536,229823366
129,533328536,244785125
130,533328536,256456912
131,533328536,269964001
132,533328536,276347658
133,533328536,280099196
134,533328536,285129439
135,533328536,312877118
136,533328536,383788148
137,533328536,388363579
138,533328536,474504251
139,533328536,478439305
140,533328536,551456880
141,533328536,-1
142,492120356,97437385
143,492120356,130883582
144,492120356,159240817
145,492120356,180642394
